date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:35:56	80808/80808	---MCZ	200	added ('OK')	text/html	etag:%2210768-1706827895;gz%22	https://www.dukunsakti.co/	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/index.html	(from )
07:35:56	112/112	---M-Z	200	added ('OK')	text/plain	etag:%2211051-1706846203;gz%22	https://www.dukunsakti.co/robots.txt		(from )
07:35:57	13112/13112	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/uploads/2023/08/dukun-sakti-fav.png	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/uploads/2023/08/dukun-sakti-fav.png	(from https://www.dukunsakti.co/)
07:35:57	110147/110147	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2013:34:15%20GMT	https://www.dukunsakti.co/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-includes/css/dist/block-library/style.min84fc.css	(from https://www.dukunsakti.co/)
07:35:57	24438/24438	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:30%20GMT	https://www.dukunsakti.co/wp-content/plugins/chaty-pro/css/chaty-front.min.css?ver=3.0.81691536015	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/plugins/chaty-pro/css/chaty-front.minc380.css	(from https://www.dukunsakti.co/)
07:35:57	17661/17661	---MCZ	200	added ('OK')	application/rss+xml	etag:%22f69a2e74b27cb4fbaec1ed0a902b4a7d%22	https://www.dukunsakti.co/feed/	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/feed/index.html	(from https://www.dukunsakti.co/)
07:35:58	74263/74263	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/style.css?ver=6.4.3	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/style84fc.css	(from https://www.dukunsakti.co/)
07:35:58	60560/60560	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Feb%202024%2000:35:57%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/ie.css?ver=5.2	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/ie5fba.css	(from https://www.dukunsakti.co/)
07:35:59	3356/3356	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.carousel.min.css?ver=5.2	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.carousel.min5fba.css	(from https://www.dukunsakti.co/)
07:35:59	81372/81372	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.animate.css?ver=5.2	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.animate5fba.css	(from https://www.dukunsakti.co/)
07:35:59	1018/1018	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.theme.default.min.css?ver=5.2	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/owl/css/owl.theme.default.min5fba.css	(from https://www.dukunsakti.co/)
07:36:00	27470/27470	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Aug%202023%2023:26:33%20GMT	https://www.dukunsakti.co/wp-content/themes/showroom/font-awesome/css/font-awesome.min.css?ver=5.2	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-content/themes/showroom/font-awesome/css/font-awesome.min5fba.css	(from https://www.dukunsakti.co/)
07:36:00	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2015:44:24%20GMT	https://www.dukunsakti.co/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.dukunsakti.co/)
07:36:00	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2004:19:24%20GMT	https://www.dukunsakti.co/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/dukun%20halal/www.dukunsakti.co/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.dukunsakti.co/)
